origin,destination,number_of_passengers
"Austin, TX","Detroit, MI",389.5
"Austin, TX","Philadelphia, PA",398.0
"Austin, TX","Salt Lake City, UT",363.0
"Austin, TX","Atlanta, GA (Metropolitan Area)",981.75
"Phoenix, AZ","Pittsburgh, PA",462.25
"Phoenix, AZ","St. Louis, MO",746.5
"Phoenix, AZ","San Francisco, CA (Metropolitan Area)",3941.0
"Phoenix, AZ","Sacramento, CA",1099.0
"Phoenix, AZ","Tampa, FL (Metropolitan Area)",570.25
"Phoenix, AZ","San Antonio, TX",578.75
"Phoenix, AZ","San Diego, CA",1508.4285714285713
"Phoenix, AZ","Portland, OR",1652.142857142857
"Phoenix, AZ","Raleigh/Durham, NC",378.25
"Phoenix, AZ","Reno, NV",446.0
"Phoenix, AZ","Washington, DC (Metropolitan Area)",1730.25
"Phoenix, AZ","Seattle, WA",2921.6666666666665
"Phoenix, AZ","Salt Lake City, UT",1311.2857142857142
"Phoenix, AZ","Spokane, WA",436.7142857142857
"Phoenix, AZ","Tulsa, OK",216.33333333333334
"Phoenix, AZ","Wichita, KS",212.0
"Phoenix, AZ","Hartford, CT",227.5
"Phoenix, AZ","El Paso, TX",323.75
"Phoenix, AZ","Cleveland, OH (Metropolitan Area)",579.6666666666666
"Phoenix, AZ","Nashville, TN",542.6666666666666
"Phoenix, AZ","Boise, ID",402.75
"Phoenix, AZ","Buffalo, NY",214.0
"Phoenix, AZ","Chicago, IL",3728.5
"Phoenix, AZ","Columbus, OH",456.6
"Phoenix, AZ","Houston, TX",1109.5
"Phoenix, AZ","Orlando, FL",825.5
"Phoenix, AZ","Las Vegas, NV",1669.5
"Phoenix, AZ","Indianapolis, IN",591.75
"Phoenix, AZ","Miami, FL (Metropolitan Area)",831.5
"Phoenix, AZ","Los Angeles, CA (Metropolitan Area)",5190.666666666667
"Phoenix, AZ","Louisville, KY",208.4
"Phoenix, AZ","Kansas City, MO",798.8333333333334
"Phoenix, AZ","Memphis, TN",186.5
"Phoenix, AZ","Omaha, NE",619.25
"Phoenix, AZ","Milwaukee, WI",828.0
"Phoenix, AZ","New Orleans, LA",352.57142857142856
"Phoenix, AZ","Oklahoma City, OK",256.42857142857144
"Phoenix, AZ","Atlanta, GA (Metropolitan Area)",1221.0
"Phoenix, AZ","Detroit, MI",1273.25
"Phoenix, AZ","Minneapolis/St. Paul, MN",1593.0
"Phoenix, AZ","Philadelphia, PA",1052.0
"Boston, MA (Metropolitan Area)","Nashville, TN",1455.4
"Boston, MA (Metropolitan Area)","Chicago, IL",4297.0
"Boston, MA (Metropolitan Area)","Columbus, OH",658.2857142857143
"Boston, MA (Metropolitan Area)","St. Louis, MO",685.1666666666666
"Boston, MA (Metropolitan Area)","Orlando, FL",4458.25
"Boston, MA (Metropolitan Area)","Fort Myers, FL",1627.0
"Boston, MA (Metropolitan Area)","Grand Rapids, MI",209.0
"Boston, MA (Metropolitan Area)","Indianapolis, IN",749.3333333333334
"Boston, MA (Metropolitan Area)","Miami, FL (Metropolitan Area)",3534.5
"Boston, MA (Metropolitan Area)","Louisville, KY",267.3333333333333
