Origin city,Destination city
"Salt Lake City, UT","Tampa, FL (Metropolitan Area)"
"Salt Lake City, UT","San Antonio, TX"
"Pittsburgh, PA","St. Louis, MO"
"Pittsburgh, PA","Tampa, FL (Metropolitan Area)"
"Pittsburgh, PA","Nashville, TN"
"Pittsburgh, PA","Fort Myers, FL"
"Pittsburgh, PA","Miami, FL (Metropolitan Area)"
"Pittsburgh, PA","New Orleans, LA"
"Pittsburgh, PA","Charlotte, NC"
"Pittsburgh, PA","Minneapolis/St. Paul, MN"
"Hartford, CT","Miami, FL (Metropolitan Area)"
"Hartford, CT","Tampa, FL (Metropolitan Area)"
"Hartford, CT","Minneapolis/St. Paul, MN"
"Hartford, CT","West Palm Beach/Palm Beach, FL"
"Hartford, CT","Fort Myers, FL"
"Hartford, CT","Charlotte, NC"
"Hartford, CT","Detroit, MI"
"El Paso, TX","New York City, NY (Metropolitan Area)"
"El Paso, TX","San Antonio, TX"
"Nashville, TN","Cleveland, OH (Metropolitan Area)"
"Nashville, TN","St. Louis, MO"
"Nashville, TN","Panama City, FL"
"Nashville, TN","New York City, NY (Metropolitan Area)"
"Nashville, TN","Sacramento, CA"
"Nashville, TN","Tampa, FL (Metropolitan Area)"
"Nashville, TN","San Antonio, TX"
"Nashville, TN","New Orleans, LA"
"Nashville, TN","Raleigh/Durham, NC"
"Nashville, TN","Philadelphia, PA"
"Nashville, TN","Charleston, SC"
"Nashville, TN","Columbus, OH"
"Nashville, TN","Jacksonville, FL"
"Nashville, TN","Fort Myers, FL"
"Nashville, TN","Miami, FL (Metropolitan Area)"
"Nashville, TN","Kansas City, MO"
"Nashville, TN","Milwaukee, WI"
"Nashville, TN","Charlotte, NC"
"Nashville, TN","Detroit, MI"
"Nashville, TN","Minneapolis/St. Paul, MN"
"St. Louis, MO","Cleveland, OH (Metropolitan Area)"
"St. Louis, MO","Columbus, OH"
"St. Louis, MO","Tampa, FL (Metropolitan Area)"
"St. Louis, MO","New York City, NY (Metropolitan Area)"
"St. Louis, MO","Fort Myers, FL"
"St. Louis, MO","Miami, FL (Metropolitan Area)"
"St. Louis, MO","Sacramento, CA"
"St. Louis, MO","Kansas City, MO"
"St. Louis, MO","San Antonio, TX"
"St. Louis, MO","Omaha, NE"
"St. Louis, MO","New Orleans, LA"
"St. Louis, MO","Raleigh/Durham, NC"
"St. Louis, MO","Charlotte, NC"
"St. Louis, MO","Detroit, MI"
"St. Louis, MO","Minneapolis/St. Paul, MN"
"St. Louis, MO","Philadelphia, PA"
"Jacksonville, FL","Miami, FL (Metropolitan Area)"
"Jacksonville, FL","Minneapolis/St. Paul, MN"
"Jacksonville, FL","Detroit, MI"
"New York City, NY (Metropolitan Area)","Tampa, FL (Metropolitan Area)"
"New York City, NY (Metropolitan Area)","San Antonio, TX"
"New York City, NY (Metropolitan Area)","Omaha, NE"
"New York City, NY (Metropolitan Area)","Oklahoma City, OK"
"New York City, NY (Metropolitan Area)","Tucson, AZ"
"New York City, NY (Metropolitan Area)","Tulsa, OK"
"New York City, NY (Metropolitan Area)","Indianapolis, IN"
"New York City, NY (Metropolitan Area)","Little Rock, AR"
"New York City, NY (Metropolitan Area)","Kansas City, MO"
"New York City, NY (Metropolitan Area)","Milwaukee, WI"
"Indianapolis, IN","Fort Myers, FL"
"Indianapolis, IN","Miami, FL (Metropolitan Area)"
"Indianapolis, IN","Tampa, FL (Metropolitan Area)"
"Indianapolis, IN","Kansas City, MO"
"Indianapolis, IN","New Orleans, LA"
"Indianapolis, IN","Raleigh/Durham, NC"
"Indianapolis, IN","Minneapolis/St. Paul, MN"
"Indianapolis, IN","Philadelphia, PA"
"Miami, FL (Metropolitan Area)","Albany, NY"
"Miami, FL (Metropolitan Area)","Birmingham, AL"
"Miami, FL (Metropolitan Area)","Buffalo, NY"
"Miami, FL (Metropolitan Area)","Columbus, OH"
"Miami, FL (Metropolitan Area)","Sacramento, CA"
"Miami, FL (Metropolitan Area)","San Antonio, TX"
"Miami, FL (Metropolitan Area)","Omaha, NE"
"Miami, FL (Metropolitan Area)","Milwaukee, WI"
"Miami, FL (Metropolitan Area)","New Orleans, LA"
"Miami, FL (Metropolitan Area)","Raleigh/Durham, NC"
"Miami, FL (Metropolitan Area)","Rochester, NY"
"Miami, FL (Metropolitan Area)","Philadelphia, PA"
"Miami, FL (Metropolitan Area)","Kansas City, MO"
"Miami, FL (Metropolitan Area)","Charlotte, NC"
"Louisville, KY","Tampa, FL (Metropolitan Area)"
"Sacramento, CA","Boise, ID"
"Sacramento, CA","San Antonio, TX"
"Sacramento, CA","Spokane, WA"
"Sacramento, CA","New Orleans, LA"
"Sacramento, CA","Minneapolis/St. Paul, MN"
"Sacramento, CA","Philadelphia, PA"
"Tampa, FL (Metropolitan Area)","Albany, NY"
"Tampa, FL (Metropolitan Area)","Birmingham, AL"
"Tampa, FL (Metropolitan Area)","Buffalo, NY"
"Tampa, FL (Metropolitan Area)","Columbus, OH"
"Tampa, FL (Metropolitan Area)","Kansas City, MO"
"Tampa, FL (Metropolitan Area)","San Antonio, TX"
"Tampa, FL (Metropolitan Area)","Memphis, TN"
"Tampa, FL (Metropolitan Area)","Omaha, NE"
"Tampa, FL (Metropolitan Area)","Milwaukee, WI"
"Tampa, FL (Metropolitan Area)","New Orleans, LA"
"Tampa, FL (Metropolitan Area)","Raleigh/Durham, NC"
"Tampa, FL (Metropolitan Area)","Rochester, NY"
"Tampa, FL (Metropolitan Area)","Charlotte, NC"
"Tampa, FL (Metropolitan Area)","Minneapolis/St. Paul, MN"
"Kansas City, MO","Fort Myers, FL"
"Kansas City, MO","San Antonio, TX"
"Kansas City, MO","Milwaukee, WI"
"Kansas City, MO","New Orleans, LA"
"Kansas City, MO","Raleigh/Durham, NC"
"Kansas City, MO","Minneapolis/St. Paul, MN"
"Kansas City, MO","Philadelphia, PA"
"Kansas City, MO","Charlotte, NC"
"San Antonio, TX","New Orleans, LA"
"San Antonio, TX","Raleigh/Durham, NC"
"San Antonio, TX","Charlotte, NC"
"San Antonio, TX","Detroit, MI"
"San Antonio, TX","Minneapolis/St. Paul, MN"
"San Antonio, TX","Philadelphia, PA"
"Memphis, TN","Charlotte, NC"
"Milwaukee, WI","Cleveland, OH (Metropolitan Area)"
"Milwaukee, WI","Fort Myers, FL"
"New Orleans, LA","Cleveland, OH (Metropolitan Area)"
"New Orleans, LA","Columbus, OH"
"New Orleans, LA","Raleigh/Durham, NC"
"New Orleans, LA","Charlotte, NC"
"Raleigh/Durham, NC","Cleveland, OH (Metropolitan Area)"
"Raleigh/Durham, NC","Minneapolis/St. Paul, MN"
"Detroit, MI","West Palm Beach/Palm Beach, FL"
"Philadelphia, PA","Cleveland, OH (Metropolitan Area)"
"Philadelphia, PA","West Palm Beach/Palm Beach, FL"
"Albany, NY","Fort Myers, FL"
"Fort Myers, FL","Buffalo, NY"
"Fort Myers, FL","Columbus, OH"
"Fort Myers, FL","Grand Rapids, MI"
"Grand Rapids, MI","Minneapolis/St. Paul, MN"
"Minneapolis/St. Paul, MN","Cleveland, OH (Metropolitan Area)"
"Minneapolis/St. Paul, MN","Columbus, OH"
"Minneapolis/St. Paul, MN","Cincinnati, OH"
"Spokane, WA","Boise, ID"
"Cleveland, OH (Metropolitan Area)","Charlotte, NC"
"Columbus, OH","Charlotte, NC"
"Buffalo, NY","Charlotte, NC"
