Origin city,Destination city,Average fare (in $)
"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",204
"Dallas/Fort Worth, TX","Little Rock, AR",181
"Dallas/Fort Worth, TX","Louisville, KY",272
"Dallas/Fort Worth, TX","Sacramento, CA",270
"Dallas/Fort Worth, TX","Tampa, FL (Metropolitan Area)",204
"Dallas/Fort Worth, TX","Kansas City, MO",174
"Dallas/Fort Worth, TX","San Antonio, TX",190
"Dallas/Fort Worth, TX","Memphis, TN",199
"Dallas/Fort Worth, TX","Omaha, NE",212
"Dallas/Fort Worth, TX","Milwaukee, WI",205
"Dallas/Fort Worth, TX","New Orleans, LA",170
"Dallas/Fort Worth, TX","San Diego, CA",199
"Dallas/Fort Worth, TX","Oklahoma City, OK",181
"Dallas/Fort Worth, TX","Raleigh/Durham, NC",250
"Dallas/Fort Worth, TX","Reno, NV",282
"Dallas/Fort Worth, TX","Des Moines, IA",251
"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",222
"Dallas/Fort Worth, TX","Detroit, MI",198
"Dallas/Fort Worth, TX","Greenville/Spartanburg, SC",276
"Dallas/Fort Worth, TX","Pensacola, FL",244
"Dallas/Fort Worth, TX","Philadelphia, PA",254
"Dallas/Fort Worth, TX","Salt Lake City, UT",216
"Dallas/Fort Worth, TX","Lubbock, TX",192
"Dallas/Fort Worth, TX","Midland/Odessa, TX",229
"Dallas/Fort Worth, TX","Tulsa, OK",158
"Dallas/Fort Worth, TX","West Palm Beach/Palm Beach, FL",299
"Dallas/Fort Worth, TX","Richmond, VA",321
"Dallas/Fort Worth, TX","Amarillo, TX",185
"Dallas/Fort Worth, TX","Austin, TX",187
"Dallas/Fort Worth, TX","Birmingham, AL",235
"Dallas/Fort Worth, TX","Cleveland, OH (Metropolitan Area)",285
"Dallas/Fort Worth, TX","Boise, ID",255
"Dallas/Fort Worth, TX","Buffalo, NY",236
"Dallas/Fort Worth, TX","Chicago, IL",207
"Dallas/Fort Worth, TX","Charleston, SC",241
"Dallas/Fort Worth, TX","Columbus, OH",240
"Dallas/Fort Worth, TX","Atlanta, GA (Metropolitan Area)",180
"Dallas/Fort Worth, TX","Charlotte, NC",275
"Dallas/Fort Worth, TX","Corpus Christi, TX",236
"Denver, CO","Albany, NY",237
"Denver, CO","Pittsburgh, PA",220
"Denver, CO","Phoenix, AZ",148
"Denver, CO","Hartford, CT",287
"Denver, CO","Nashville, TN",196
"Denver, CO","St. Louis, MO",167
"Denver, CO","Jacksonville, FL",207
"Denver, CO","Houston, TX",204
"Denver, CO","Orlando, FL",195
"Denver, CO","New York City, NY (Metropolitan Area)",244
"Denver, CO","Grand Rapids, MI",223
"Denver, CO","Las Vegas, NV",139
"Denver, CO","Indianapolis, IN",188
"Denver, CO","San Francisco, CA (Metropolitan Area)",177
"Denver, CO","Los Angeles, CA (Metropolitan Area)",154
"Denver, CO","Louisville, KY",189
"Denver, CO","Sacramento, CA",209
"Denver, CO","Tampa, FL (Metropolitan Area)",206
"Denver, CO","Kansas City, MO",158
"Denver, CO","San Antonio, TX",187
"Denver, CO","Omaha, NE",149
"Denver, CO","Milwaukee, WI",171
"Denver, CO","New Orleans, LA",193
"Denver, CO","San Diego, CA",160
"Denver, CO","Norfolk, VA (Metropolitan Area)",301
"Denver, CO","Oklahoma City, OK",159
"Denver, CO","Portland, OR",162
"Denver, CO","Raleigh/Durham, NC",210
"Denver, CO","Reno, NV",183
"Denver, CO","Tucson, AZ",196
"Denver, CO","Seattle, WA",129
"Denver, CO","Detroit, MI",178
"Denver, CO","Minneapolis/St. Paul, MN",145
"Denver, CO","Philadelphia, PA",207
"Denver, CO","Salt Lake City, UT",144
"Denver, CO","Spokane, WA",170
"Denver, CO","Tulsa, OK",170
"Denver, CO","Richmond, VA",311
"Denver, CO","Austin, TX",164
"Denver, CO","Cleveland, OH (Metropolitan Area)",222
"Denver, CO","Boise, ID",180
"Denver, CO","Boston, MA (Metropolitan Area)",252
"Denver, CO","Chicago, IL",186
"Denver, CO","Charleston, SC",202
"Denver, CO","Columbus, OH",207
"Denver, CO","Atlanta, GA (Metropolitan Area)",198
"Austin, TX","Pittsburgh, PA",244
"Austin, TX","Phoenix, AZ",195
"Austin, TX","El Paso, TX",201
"Austin, TX","Cleveland, OH (Metropolitan Area)",222
"Austin, TX","Nashville, TN",247
"Austin, TX","Boston, MA (Metropolitan Area)",237
"Austin, TX","Chicago, IL",221
"Austin, TX","Columbus, OH",188
"Austin, TX","St. Louis, MO",218
"Austin, TX","Houston, TX",207
"Austin, TX","Orlando, FL",173
"Austin, TX","New York City, NY (Metropolitan Area)",239
"Austin, TX","Las Vegas, NV",177
"Austin, TX","Indianapolis, IN",189
"Austin, TX","San Francisco, CA (Metropolitan Area)",227
"Austin, TX","Miami, FL (Metropolitan Area)",198
"Austin, TX","Los Angeles, CA (Metropolitan Area)",193
"Austin, TX","Sacramento, CA",223
"Austin, TX","Tampa, FL (Metropolitan Area)",204
"Austin, TX","Kansas City, MO",198
"Austin, TX","Milwaukee, WI",165
"Austin, TX","New Orleans, LA",170
"Austin, TX","San Diego, CA",190
"Austin, TX","Raleigh/Durham, NC",213
"Austin, TX","Washington, DC (Metropolitan Area)",287
"Austin, TX","Detroit, MI",261
"Austin, TX","Philadelphia, PA",285
"Austin, TX","Salt Lake City, UT",244
"Austin, TX","Atlanta, GA (Metropolitan Area)",193
"Phoenix, AZ","Pittsburgh, PA",249
"Phoenix, AZ","St. Louis, MO",227
"Phoenix, AZ","San Francisco, CA (Metropolitan Area)",172
"Phoenix, AZ","Sacramento, CA",171
"Phoenix, AZ","Tampa, FL (Metropolitan Area)",253
"Phoenix, AZ","San Antonio, TX",202
"Phoenix, AZ","San Diego, CA",158
"Phoenix, AZ","Portland, OR",180
"Phoenix, AZ","Raleigh/Durham, NC",282
"Phoenix, AZ","Reno, NV",196
"Phoenix, AZ","Washington, DC (Metropolitan Area)",298
"Phoenix, AZ","Seattle, WA",182
"Phoenix, AZ","Salt Lake City, UT",182
"Phoenix, AZ","Spokane, WA",192
"Phoenix, AZ","Tulsa, OK",245
"Phoenix, AZ","Wichita, KS",166
"Phoenix, AZ","Hartford, CT",309
"Phoenix, AZ","El Paso, TX",151
"Phoenix, AZ","Cleveland, OH (Metropolitan Area)",220
"Phoenix, AZ","Nashville, TN",265
"Phoenix, AZ","Boise, ID",166
"Phoenix, AZ","Buffalo, NY",280
"Phoenix, AZ","Chicago, IL",208
"Phoenix, AZ","Columbus, OH",260
"Phoenix, AZ","Houston, TX",242
"Phoenix, AZ","Orlando, FL",254
"Phoenix, AZ","Las Vegas, NV",145
"Phoenix, AZ","Indianapolis, IN",245
"Phoenix, AZ","Miami, FL (Metropolitan Area)",280
"Phoenix, AZ","Los Angeles, CA (Metropolitan Area)",157
"Phoenix, AZ","Louisville, KY",264
"Phoenix, AZ","Kansas City, MO",210
"Phoenix, AZ","Memphis, TN",283
"Phoenix, AZ","Omaha, NE",189
"Phoenix, AZ","Milwaukee, WI",218
"Phoenix, AZ","New Orleans, LA",266
"Phoenix, AZ","Oklahoma City, OK",238
"Phoenix, AZ","Atlanta, GA (Metropolitan Area)",252
"Phoenix, AZ","Detroit, MI",244
"Phoenix, AZ","Minneapolis/St. Paul, MN",181
"Phoenix, AZ","Philadelphia, PA",272
"Boston, MA (Metropolitan Area)","Nashville, TN",172
"Boston, MA (Metropolitan Area)","Chicago, IL",164
"Boston, MA (Metropolitan Area)","Columbus, OH",210
"Boston, MA (Metropolitan Area)","St. Louis, MO",270
"Boston, MA (Metropolitan Area)","Orlando, FL",175
"Boston, MA (Metropolitan Area)","Fort Myers, FL",216
"Boston, MA (Metropolitan Area)","Grand Rapids, MI",220
"Boston, MA (Metropolitan Area)","Indianapolis, IN",202
"Boston, MA (Metropolitan Area)","Miami, FL (Metropolitan Area)",189
"Boston, MA (Metropolitan Area)","Louisville, KY",223
"Boston, MA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",188
"Boston, MA (Metropolitan Area)","Kansas City, MO",202
