origin,destination,nsmiles
"Phoenix, AZ","Salt Lake City, UT",817
"Phoenix, AZ","Spokane, WA",1643
"Phoenix, AZ","Tulsa, OK",1501
"Phoenix, AZ","Wichita, KS",1398
"Phoenix, AZ","Hartford, CT",3553
"Phoenix, AZ","El Paso, TX",557
"Phoenix, AZ","Cleveland, OH (Metropolitan Area)",2790
"Phoenix, AZ","Nashville, TN",2326
"Phoenix, AZ","Boise, ID",1184
"Phoenix, AZ","Buffalo, NY",3070
"Phoenix, AZ","Chicago, IL",2313
"Phoenix, AZ","Columbus, OH",2682
"Phoenix, AZ","Houston, TX",1620
"Phoenix, AZ","Orlando, FL",2969
"Phoenix, AZ","Las Vegas, NV",410
"Phoenix, AZ","Indianapolis, IN",2390
"Phoenix, AZ","Miami, FL (Metropolitan Area)",3168
"Phoenix, AZ","Los Angeles, CA (Metropolitan Area)",594
"Phoenix, AZ","Louisville, KY",2418
"Phoenix, AZ","Kansas City, MO",1676
"Phoenix, AZ","Memphis, TN",2029
"Phoenix, AZ","Omaha, NE",1667
"Phoenix, AZ","Milwaukee, WI",2346
"Phoenix, AZ","New Orleans, LA",2088
"Phoenix, AZ","Oklahoma City, OK",1338
"Phoenix, AZ","Atlanta, GA (Metropolitan Area)",2549
"Phoenix, AZ","Detroit, MI",2683
"Phoenix, AZ","Minneapolis/St. Paul, MN",2051
"Phoenix, AZ","Philadelphia, PA",3332
"Boston, MA (Metropolitan Area)","Nashville, TN",1514
"Boston, MA (Metropolitan Area)","Chicago, IL",1391
"Boston, MA (Metropolitan Area)","Columbus, OH",1028
"Boston, MA (Metropolitan Area)","St. Louis, MO",1676
"Boston, MA (Metropolitan Area)","Orlando, FL",1805
"Boston, MA (Metropolitan Area)","Fort Myers, FL",2013
"Boston, MA (Metropolitan Area)","Grand Rapids, MI",1187
"Boston, MA (Metropolitan Area)","Indianapolis, IN",1313
"Boston, MA (Metropolitan Area)","Miami, FL (Metropolitan Area)",2028
"Boston, MA (Metropolitan Area)","Louisville, KY",1331
"Boston, MA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",1908
"Boston, MA (Metropolitan Area)","Kansas City, MO",2016
"Boston, MA (Metropolitan Area)","San Antonio, TX",2835
"Boston, MA (Metropolitan Area)","Memphis, TN",1830
"Boston, MA (Metropolitan Area)","Omaha, NE",2058
"Boston, MA (Metropolitan Area)","Milwaukee, WI",1380
"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)",663
"Boston, MA (Metropolitan Area)","Tucson, AZ",3676
"Chicago, IL","Albany, NY",1160
"Chicago, IL","Birmingham, AL",941
"Chicago, IL","Boise, ID",2306
"Chicago, IL","Buffalo, NY",759
"Chicago, IL","Pittsburgh, PA",662
"Chicago, IL","Hartford, CT",1256
"Chicago, IL","El Paso, TX",1987
"Chicago, IL","Cleveland, OH (Metropolitan Area)",506
"Chicago, IL","Nashville, TN",659
"Chicago, IL","Columbus, OH",474
"Chicago, IL","St. Louis, MO",422
"Chicago, IL","Jacksonville, FL",1392
"Chicago, IL","Houston, TX",1490
"Chicago, IL","Orlando, FL",1620
"Chicago, IL","New York City, NY (Metropolitan Area)",1187
"Chicago, IL","Fort Myers, FL",1806
"Chicago, IL","Las Vegas, NV",2431
"Chicago, IL","Indianapolis, IN",285
"Chicago, IL","San Francisco, CA (Metropolitan Area)",2963
"Chicago, IL","Miami, FL (Metropolitan Area)",1930
"Chicago, IL","Los Angeles, CA (Metropolitan Area)",2802
"Chicago, IL","Louisville, KY",461
"Chicago, IL","Sacramento, CA",2859
"Chicago, IL","Tampa, FL (Metropolitan Area)",1631
"Chicago, IL","Kansas City, MO",647
"Chicago, IL","San Antonio, TX",1677
"Chicago, IL","Memphis, TN",791
"Chicago, IL","Omaha, NE",667
"Chicago, IL","New Orleans, LA",1349
"Chicago, IL","Norfolk, VA (Metropolitan Area)",1151
